#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
0       274.9  1.463E+02  0.000E+00  -4.685E+00  -6.168E-01  -5.302E+00  1.410E+02
10000   251.2  1.337E+02  -2.480E+01  -1.646E+01  -6.168E-01  -1.708E+01  1.414E+02
20000   254.5  1.354E+02  -2.379E+01  -1.691E+01  -6.168E-01  -1.753E+01  1.417E+02
30000   294.6  1.568E+02  -1.055E+00  -1.555E+01  -6.168E-01  -1.617E+01  1.417E+02
40000   302.5  1.610E+02  1.527E+00  -1.720E+01  -6.168E-01  -1.782E+01  1.416E+02
50000   301.1  1.602E+02  -1.276E+00  -1.975E+01  -6.168E-01  -2.037E+01  1.411E+02
60000   294.8  1.569E+02  -3.234E+00  -1.790E+01  -6.168E-01  -1.852E+01  1.416E+02
70000   325.6  1.733E+02  1.172E+01  -1.983E+01  -6.168E-01  -2.044E+01  1.411E+02
80000   307.4  1.636E+02  6.113E+00  -1.536E+01  -6.168E-01  -1.597E+01  1.415E+02
90000   289.7  1.542E+02  -8.415E+00  -2.110E+01  -6.168E-01  -2.172E+01  1.409E+02
100000  332.5  1.769E+02  2.046E+01  -1.537E+01  -6.168E-01  -1.599E+01  1.405E+02
110000  286.6  1.525E+02  -9.817E+00  -2.105E+01  -6.168E-01  -2.166E+01  1.407E+02
120000  313.9  1.670E+02  6.577E+00  -1.964E+01  -6.168E-01  -2.026E+01  1.402E+02
130000  277.7  1.478E+02  -1.029E+01  -1.765E+01  -6.168E-01  -1.826E+01  1.398E+02
140000  271.4  1.444E+02  -8.387E+00  -1.166E+01  -6.168E-01  -1.228E+01  1.405E+02
150000  283.7  1.510E+02  -6.135E+00  -1.590E+01  -6.168E-01  -1.651E+01  1.406E+02
160000  289.5  1.540E+02  -6.887E+00  -1.922E+01  -6.168E-01  -1.984E+01  1.411E+02
170000  298.3  1.587E+02  -6.654E+00  -2.387E+01  -6.168E-01  -2.449E+01  1.409E+02
180000  253.1  1.347E+02  -2.342E+01  -1.657E+01  -6.168E-01  -1.719E+01  1.409E+02
190000  328.8  1.749E+02  1.810E+01  -1.514E+01  -6.168E-01  -1.576E+01  1.411E+02
200000  349.9  1.862E+02  3.300E+01  -1.092E+01  -6.168E-01  -1.154E+01  1.417E+02
210000  311.1  1.655E+02  5.433E+00  -1.737E+01  -6.168E-01  -1.798E+01  1.421E+02
220000  280.0  1.490E+02  -5.998E+00  -1.236E+01  -6.168E-01  -1.298E+01  1.420E+02
230000  334.1  1.778E+02  2.469E+01  -1.045E+01  -6.168E-01  -1.106E+01  1.421E+02
240000  290.9  1.548E+02  -4.672E+00  -1.740E+01  -6.168E-01  -1.802E+01  1.415E+02
250000  295.5  1.572E+02  -4.616E+00  -1.932E+01  -6.168E-01  -1.993E+01  1.419E+02
260000  284.0  1.511E+02  -1.319E+01  -2.171E+01  -6.168E-01  -2.233E+01  1.420E+02
270000  284.5  1.514E+02  -8.505E+00  -1.706E+01  -6.168E-01  -1.768E+01  1.422E+02
280000  255.5  1.360E+02  -2.018E+01  -1.257E+01  -6.168E-01  -1.318E+01  1.430E+02
290000  309.5  1.647E+02  -3.609E-01  -2.130E+01  -6.168E-01  -2.191E+01  1.431E+02
300000  294.1  1.565E+02  -4.497E+00  -1.720E+01  -6.168E-01  -1.781E+01  1.432E+02
310000  348.1  1.852E+02  2.240E+01  -1.881E+01  -6.168E-01  -1.943E+01  1.434E+02
320000  342.6  1.823E+02  1.509E+01  -2.350E+01  -6.168E-01  -2.411E+01  1.431E+02
330000  289.6  1.541E+02  -4.247E+00  -1.422E+01  -6.168E-01  -1.484E+01  1.435E+02
340000  343.3  1.827E+02  2.202E+01  -1.530E+01  -6.168E-01  -1.592E+01  1.447E+02
350000  353.8  1.883E+02  2.163E+01  -2.092E+01  -6.168E-01  -2.154E+01  1.451E+02
360000  249.5  1.327E+02  -2.973E+01  -1.648E+01  -6.168E-01  -1.710E+01  1.454E+02
370000  310.4  1.652E+02  1.165E+00  -1.849E+01  -6.168E-01  -1.910E+01  1.449E+02
380000  331.5  1.764E+02  1.055E+01  -1.979E+01  -6.168E-01  -2.041E+01  1.454E+02
390000  285.4  1.519E+02  -5.734E+00  -1.217E+01  -6.168E-01  -1.279E+01  1.448E+02
400000  276.5  1.471E+02  -1.966E+01  -2.126E+01  -6.168E-01  -2.188E+01  1.449E+02
410000  263.6  1.403E+02  -2.876E+01  -2.357E+01  -6.168E-01  -2.419E+01  1.448E+02
420000  300.9  1.601E+02  -3.566E+00  -1.833E+01  -6.168E-01  -1.895E+01  1.448E+02
430000  282.9  1.505E+02  -1.445E+01  -1.927E+01  -6.168E-01  -1.989E+01  1.451E+02
440000  285.8  1.521E+02  -1.098E+01  -1.707E+01  -6.168E-01  -1.769E+01  1.454E+02
450000  294.0  1.564E+02  -3.667E+00  -1.434E+01  -6.168E-01  -1.495E+01  1.451E+02
460000  268.5  1.429E+02  -1.867E+01  -1.525E+01  -6.168E-01  -1.586E+01  1.457E+02
470000  288.0  1.533E+02  -4.443E+00  -1.192E+01  -6.168E-01  -1.254E+01  1.452E+02
480000  291.3  1.550E+02  -8.971E+00  -1.843E+01  -6.168E-01  -1.905E+01  1.450E+02
490000  280.5  1.492E+02  -7.582E+00  -1.123E+01  -6.168E-01  -1.184E+01  1.450E+02
500000  244.8  1.302E+02  -2.929E+01  -1.364E+01  -6.168E-01  -1.425E+01  1.453E+02
510000  275.1  1.464E+02  -1.344E+01  -1.383E+01  -6.168E-01  -1.445E+01  1.454E+02
520000  308.9  1.644E+02  4.356E+00  -1.475E+01  -6.168E-01  -1.536E+01  1.447E+02
530000  283.2  1.507E+02  -9.394E+00  -1.457E+01  -6.168E-01  -1.519E+01  1.449E+02
540000  303.2  1.614E+02  -6.041E+00  -2.225E+01  -6.168E-01  -2.287E+01  1.445E+02
550000  299.2  1.592E+02  -7.628E-01  -1.462E+01  -6.168E-01  -1.524E+01  1.447E+02
560000  271.7  1.446E+02  -2.112E+01  -1.998E+01  -6.168E-01  -2.060E+01  1.451E+02
570000  255.2  1.358E+02  -2.361E+01  -1.405E+01  -6.168E-01  -1.466E+01  1.448E+02
580000  313.5  1.668E+02  7.562E+00  -1.356E+01  -6.168E-01  -1.418E+01  1.451E+02
590000  344.2  1.832E+02  2.051E+01  -1.763E+01  -6.168E-01  -1.824E+01  1.444E+02
600000  293.1  1.560E+02  -7.508E+00  -1.889E+01  -6.168E-01  -1.951E+01  1.440E+02
610000  287.7  1.531E+02  -1.222E+01  -2.077E+01  -6.168E-01  -2.139E+01  1.439E+02
620000  286.7  1.526E+02  -1.150E+01  -2.064E+01  -6.168E-01  -2.126E+01  1.428E+02
630000  301.8  1.606E+02  2.818E+00  -1.409E+01  -6.168E-01  -1.471E+01  1.431E+02
640000  280.9  1.495E+02  -1.477E+01  -2.022E+01  -6.168E-01  -2.084E+01  1.434E+02
650000  267.9  1.425E+02  -1.984E+01  -1.864E+01  -6.168E-01  -1.926E+01  1.431E+02
660000  267.2  1.422E+02  -1.997E+01  -1.779E+01  -6.168E-01  -1.841E+01  1.437E+02
670000  293.0  1.559E+02  -5.245E+00  -1.676E+01  -6.168E-01  -1.737E+01  1.438E+02
680000  306.9  1.633E+02  1.516E-01  -1.821E+01  -6.168E-01  -1.883E+01  1.443E+02
690000  263.1  1.400E+02  -2.612E+01  -2.051E+01  -6.168E-01  -2.113E+01  1.450E+02
700000  240.1  1.278E+02  -3.600E+01  -1.854E+01  -6.168E-01  -1.916E+01  1.446E+02
710000  285.0  1.517E+02  -1.182E+01  -1.794E+01  -6.168E-01  -1.855E+01  1.449E+02
720000  305.1  1.624E+02  -1.683E+00  -1.845E+01  -6.168E-01  -1.907E+01  1.450E+02
730000  260.5  1.386E+02  -2.403E+01  -1.665E+01  -6.168E-01  -1.727E+01  1.454E+02
740000  261.8  1.393E+02  -2.085E+01  -1.426E+01  -6.168E-01  -1.488E+01  1.453E+02
750000  269.4  1.434E+02  -1.722E+01  -1.552E+01  -6.168E-01  -1.613E+01  1.445E+02
760000  319.6  1.701E+02  9.388E+00  -1.608E+01  -6.168E-01  -1.670E+01  1.440E+02
770000  309.4  1.647E+02  4.082E+00  -1.589E+01  -6.168E-01  -1.651E+01  1.441E+02
780000  317.5  1.690E+02  6.916E+00  -1.748E+01  -6.168E-01  -1.810E+01  1.439E+02
790000  302.5  1.610E+02  3.281E+00  -1.291E+01  -6.168E-01  -1.352E+01  1.442E+02
800000  364.8  1.941E+02  3.224E+01  -1.646E+01  -6.168E-01  -1.708E+01  1.448E+02
810000  301.1  1.602E+02  3.981E+00  -1.050E+01  -6.168E-01  -1.111E+01  1.451E+02
820000  319.5  1.700E+02  4.136E+00  -2.019E+01  -6.168E-01  -2.080E+01  1.451E+02
830000  296.7  1.579E+02  -3.791E+00  -1.607E+01  -6.168E-01  -1.669E+01  1.450E+02
840000  275.6  1.467E+02  -1.686E+01  -1.748E+01  -6.168E-01  -1.810E+01  1.454E+02
850000  351.0  1.868E+02  2.599E+01  -1.502E+01  -6.168E-01  -1.564E+01  1.451E+02
860000  321.5  1.711E+02  3.132E+00  -2.186E+01  -6.168E-01  -2.248E+01  1.455E+02
870000  311.7  1.659E+02  -9.792E-01  -2.043E+01  -6.168E-01  -2.105E+01  1.458E+02
880000  291.9  1.553E+02  -1.281E+01  -2.169E+01  -6.168E-01  -2.230E+01  1.458E+02
890000  245.2  1.305E+02  -3.255E+01  -1.646E+01  -6.168E-01  -1.708E+01  1.459E+02
900000  317.5  1.690E+02  6.804E+00  -1.642E+01  -6.168E-01  -1.704E+01  1.451E+02
910000  284.6  1.514E+02  -1.256E+01  -1.896E+01  -6.168E-01  -1.958E+01  1.444E+02
920000  305.7  1.626E+02  2.343E+00  -1.451E+01  -6.168E-01  -1.512E+01  1.452E+02
930000  311.8  1.659E+02  2.468E+00  -1.788E+01  -6.168E-01  -1.850E+01  1.450E+02
940000  323.7  1.723E+02  5.234E+00  -2.166E+01  -6.168E-01  -2.228E+01  1.447E+02
950000  328.9  1.750E+02  1.348E+01  -1.584E+01  -6.168E-01  -1.646E+01  1.451E+02
960000  331.0  1.761E+02  1.676E+01  -1.387E+01  -6.168E-01  -1.449E+01  1.449E+02
970000  335.4  1.785E+02  1.096E+01  -2.176E+01  -6.168E-01  -2.238E+01  1.452E+02
980000  279.4  1.487E+02  -1.489E+01  -1.778E+01  -6.168E-01  -1.839E+01  1.452E+02
990000  349.2  1.858E+02  2.332E+01  -1.711E+01  -6.168E-01  -1.773E+01  1.448E+02
1000000  341.5  1.817E+02  2.474E+01  -1.209E+01  -6.168E-01  -1.271E+01  1.443E+02
1010000  322.4  1.716E+02  3.033E+00  -2.337E+01  -6.168E-01  -2.399E+01  1.446E+02
1020000  284.8  1.516E+02  -1.620E+01  -2.237E+01  -6.168E-01  -2.299E+01  1.448E+02
1030000  261.0  1.389E+02  -3.100E+01  -2.457E+01  -6.168E-01  -2.518E+01  1.447E+02
