#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
0       274.9  1.463E+02  0.000E+00  -4.685E+00  -6.168E-01  -5.302E+00  1.410E+02
100000  274.8  1.462E+02  -7.965E-02  -4.685E+00  -6.168E-01  -5.302E+00  1.410E+02
200000  276.2  1.470E+02  6.666E-01  -4.691E+00  -6.168E-01  -5.308E+00  1.410E+02
300000  276.2  1.470E+02  6.666E-01  -4.704E+00  -6.168E-01  -5.320E+00  1.410E+02
400000  276.2  1.470E+02  6.666E-01  -4.722E+00  -6.168E-01  -5.339E+00  1.410E+02
500000  291.6  1.552E+02  8.867E+00  -4.746E+00  -6.168E-01  -5.363E+00  1.409E+02
600000  291.6  1.552E+02  8.867E+00  -4.776E+00  -6.168E-01  -5.393E+00  1.409E+02
700000  291.7  1.552E+02  8.867E+00  -4.812E+00  -6.168E-01  -5.428E+00  1.409E+02
800000  291.7  1.552E+02  8.867E+00  -4.857E+00  -6.168E-01  -5.474E+00  1.409E+02
900000  296.2  1.576E+02  1.124E+01  -4.912E+00  -6.168E-01  -5.529E+00  1.408E+02
1000000  300.4  1.598E+02  1.345E+01  -4.973E+00  -6.168E-01  -5.590E+00  1.408E+02
1100000  300.0  1.596E+02  1.324E+01  -5.037E+00  -6.168E-01  -5.654E+00  1.407E+02
1200000  302.1  1.608E+02  1.436E+01  -5.110E+00  -6.168E-01  -5.727E+00  1.407E+02
1300000  308.9  1.644E+02  1.789E+01  -5.193E+00  -6.168E-01  -5.810E+00  1.407E+02
1400000  319.2  1.698E+02  2.330E+01  -5.287E+00  -6.168E-01  -5.904E+00  1.406E+02
1500000  317.0  1.687E+02  2.210E+01  -5.395E+00  -6.168E-01  -6.012E+00  1.406E+02
1600000  317.2  1.688E+02  2.210E+01  -5.502E+00  -6.168E-01  -6.119E+00  1.406E+02
1700000  317.3  1.689E+02  2.210E+01  -5.612E+00  -6.168E-01  -6.229E+00  1.405E+02
1800000  317.5  1.689E+02  2.210E+01  -5.734E+00  -6.168E-01  -6.351E+00  1.405E+02
1900000  318.3  1.693E+02  2.245E+01  -5.864E+00  -6.168E-01  -6.480E+00  1.404E+02
2000000  315.7  1.680E+02  2.099E+01  -6.001E+00  -6.168E-01  -6.618E+00  1.404E+02
2100000  313.7  1.669E+02  1.988E+01  -6.153E+00  -6.168E-01  -6.770E+00  1.403E+02
2200000  322.6  1.717E+02  2.452E+01  -6.331E+00  -6.168E-01  -6.947E+00  1.402E+02
2300000  321.1  1.709E+02  2.355E+01  -6.527E+00  -6.168E-01  -7.144E+00  1.402E+02
2400000  332.5  1.769E+02  2.940E+01  -6.746E+00  -6.168E-01  -7.363E+00  1.401E+02
2500000  329.1  1.751E+02  2.751E+01  -6.985E+00  -6.168E-01  -7.602E+00  1.400E+02
2600000  329.4  1.753E+02  2.751E+01  -7.256E+00  -6.168E-01  -7.872E+00  1.399E+02
2700000  329.6  1.754E+02  2.751E+01  -7.545E+00  -6.168E-01  -8.162E+00  1.397E+02
2800000  332.2  1.768E+02  2.883E+01  -7.799E+00  -6.168E-01  -8.416E+00  1.395E+02
2900000  329.4  1.753E+02  2.726E+01  -7.857E+00  -6.168E-01  -8.474E+00  1.395E+02
3000000  320.5  1.705E+02  2.299E+01  -7.319E+00  -6.168E-01  -7.936E+00  1.396E+02
3100000  328.7  1.749E+02  2.873E+01  -5.997E+00  -6.168E-01  -6.614E+00  1.396E+02
3200000  325.0  1.729E+02  2.837E+01  -4.180E+00  -6.168E-01  -4.797E+00  1.398E+02
3300000  331.5  1.764E+02  3.237E+01  -2.438E+00  -6.168E-01  -3.055E+00  1.410E+02
3400000  333.9  1.777E+02  3.237E+01  -4.066E+00  -6.168E-01  -4.683E+00  1.406E+02
3500000  331.3  1.763E+02  2.938E+01  -6.102E+00  -6.168E-01  -6.718E+00  1.402E+02
3600000  343.1  1.826E+02  3.467E+01  -7.390E+00  -6.168E-01  -8.007E+00  1.399E+02
3700000  341.8  1.819E+02  3.336E+01  -8.114E+00  -6.168E-01  -8.731E+00  1.398E+02
3800000  347.4  1.849E+02  3.598E+01  -8.506E+00  -6.168E-01  -9.122E+00  1.398E+02
3900000  345.1  1.836E+02  3.453E+01  -8.580E+00  -6.168E-01  -9.197E+00  1.399E+02
4000000  338.5  1.801E+02  3.096E+01  -8.260E+00  -6.168E-01  -8.877E+00  1.403E+02
4100000  339.4  1.806E+02  3.154E+01  -7.702E+00  -6.168E-01  -8.319E+00  1.407E+02
