#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
4200000  336.7  1.791E+02  3.018E+01  -7.926E+00  -6.168E-01  -8.543E+00  1.404E+02
4300000  336.3  1.790E+02  3.018E+01  -8.546E+00  -6.168E-01  -9.163E+00  1.396E+02
4400000  328.0  1.746E+02  2.609E+01  -8.613E+00  -6.168E-01  -9.230E+00  1.392E+02
4500000  328.5  1.748E+02  2.646E+01  -8.561E+00  -6.168E-01  -9.177E+00  1.392E+02
4600000  327.9  1.745E+02  2.608E+01  -8.727E+00  -6.168E-01  -9.343E+00  1.391E+02
4700000  311.6  1.658E+02  1.719E+01  -8.998E+00  -6.168E-01  -9.615E+00  1.390E+02
4800000  311.8  1.659E+02  1.719E+01  -9.131E+00  -6.168E-01  -9.748E+00  1.390E+02
4900000  312.6  1.663E+02  1.764E+01  -9.071E+00  -6.168E-01  -9.687E+00  1.390E+02
5000000  311.3  1.657E+02  1.730E+01  -8.708E+00  -6.168E-01  -9.325E+00  1.390E+02
5100000  318.0  1.692E+02  2.146E+01  -8.381E+00  -6.168E-01  -8.998E+00  1.387E+02
5200000  311.8  1.659E+02  1.865E+01  -8.457E+00  -6.168E-01  -9.073E+00  1.382E+02
5300000  319.8  1.702E+02  2.336E+01  -8.469E+00  -6.168E-01  -9.086E+00  1.377E+02
5400000  329.6  1.754E+02  2.878E+01  -8.451E+00  -6.168E-01  -9.068E+00  1.375E+02
5500000  329.5  1.753E+02  2.878E+01  -8.410E+00  -6.168E-01  -9.027E+00  1.375E+02
5600000  329.5  1.754E+02  2.878E+01  -8.349E+00  -6.168E-01  -8.966E+00  1.376E+02
5700000  317.2  1.688E+02  2.261E+01  -8.257E+00  -6.168E-01  -8.874E+00  1.373E+02
5800000  316.7  1.685E+02  2.261E+01  -8.148E+00  -6.168E-01  -8.765E+00  1.371E+02
5900000  323.9  1.724E+02  2.644E+01  -8.003E+00  -6.168E-01  -8.620E+00  1.373E+02
6000000  324.4  1.726E+02  2.644E+01  -7.892E+00  -6.168E-01  -8.509E+00  1.377E+02
6100000  318.7  1.696E+02  2.291E+01  -7.977E+00  -6.168E-01  -8.593E+00  1.381E+02
6200000  319.4  1.700E+02  2.265E+01  -8.313E+00  -6.168E-01  -8.930E+00  1.384E+02
6300000  320.3  1.704E+02  2.265E+01  -8.408E+00  -6.168E-01  -9.025E+00  1.388E+02
6400000  336.0  1.788E+02  3.028E+01  -8.611E+00  -6.168E-01  -9.228E+00  1.393E+02
6500000  337.8  1.798E+02  3.028E+01  -9.063E+00  -6.168E-01  -9.680E+00  1.398E+02
6600000  337.9  1.798E+02  2.933E+01  -9.544E+00  -6.168E-01  -1.016E+01  1.403E+02
6700000  339.0  1.804E+02  2.933E+01  -1.061E+01  -6.168E-01  -1.122E+01  1.398E+02
6800000  351.7  1.871E+02  3.599E+01  -1.080E+01  -6.168E-01  -1.141E+01  1.397E+02
6900000  373.6  1.988E+02  4.779E+01  -1.035E+01  -6.168E-01  -1.097E+01  1.400E+02
7000000  377.3  2.008E+02  5.019E+01  -8.917E+00  -6.168E-01  -9.534E+00  1.411E+02
7100000  376.9  2.006E+02  5.019E+01  -8.744E+00  -6.168E-01  -9.360E+00  1.410E+02
7200000  361.9  1.926E+02  4.440E+01  -8.259E+00  -6.168E-01  -8.876E+00  1.393E+02
7300000  360.6  1.919E+02  4.589E+01  -7.700E+00  -6.168E-01  -8.317E+00  1.377E+02
7400000  357.2  1.901E+02  4.589E+01  -7.198E+00  -6.168E-01  -7.815E+00  1.364E+02
7500000  354.9  1.888E+02  4.589E+01  -6.797E+00  -6.168E-01  -7.414E+00  1.355E+02
7600000  357.2  1.901E+02  4.808E+01  -6.712E+00  -6.168E-01  -7.329E+00  1.347E+02
7700000  336.8  1.792E+02  3.737E+01  -6.682E+00  -6.168E-01  -7.299E+00  1.345E+02
7800000  336.2  1.789E+02  3.625E+01  -6.747E+00  -6.168E-01  -7.363E+00  1.353E+02
7900000  338.3  1.800E+02  3.545E+01  -6.928E+00  -6.168E-01  -7.544E+00  1.370E+02
8000000  343.9  1.830E+02  3.550E+01  -7.128E+00  -6.168E-01  -7.745E+00  1.398E+02
8100000  345.8  1.840E+02  3.406E+01  -9.651E+00  -6.168E-01  -1.027E+01  1.397E+02
8200000  347.7  1.850E+02  3.406E+01  -1.050E+01  -6.168E-01  -1.112E+01  1.398E+02
8300000  348.7  1.855E+02  3.406E+01  -1.072E+01  -6.168E-01  -1.134E+01  1.401E+02
8400000  349.4  1.859E+02  3.406E+01  -1.076E+01  -6.168E-01  -1.138E+01  1.405E+02
8500000  350.1  1.863E+02  3.406E+01  -1.083E+01  -6.168E-01  -1.144E+01  1.408E+02
8600000  354.3  1.885E+02  3.596E+01  -1.089E+01  -6.168E-01  -1.151E+01  1.411E+02
8700000  355.3  1.890E+02  3.609E+01  -1.094E+01  -6.168E-01  -1.156E+01  1.414E+02
8800000  355.9  1.894E+02  3.609E+01  -1.099E+01  -6.168E-01  -1.161E+01  1.417E+02
8900000  345.6  1.839E+02  3.040E+01  -1.107E+01  -6.168E-01  -1.168E+01  1.418E+02
9000000  332.3  1.768E+02  2.310E+01  -1.116E+01  -6.168E-01  -1.178E+01  1.419E+02
9100000  322.4  1.716E+02  1.782E+01  -1.120E+01  -6.168E-01  -1.181E+01  1.420E+02
9200000  335.2  1.784E+02  2.462E+01  -1.123E+01  -6.168E-01  -1.185E+01  1.419E+02
9300000  335.2  1.784E+02  2.462E+01  -1.132E+01  -6.168E-01  -1.193E+01  1.418E+02
9400000  335.5  1.785E+02  2.462E+01  -1.149E+01  -6.168E-01  -1.210E+01  1.418E+02
9500000  336.2  1.789E+02  2.462E+01  -1.173E+01  -6.168E-01  -1.235E+01  1.419E+02
9600000  337.7  1.797E+02  2.486E+01  -1.205E+01  -6.168E-01  -1.267E+01  1.422E+02
9700000  325.4  1.731E+02  1.784E+01  -1.245E+01  -6.168E-01  -1.306E+01  1.422E+02
9800000  326.0  1.735E+02  1.784E+01  -1.276E+01  -6.168E-01  -1.337E+01  1.422E+02
9900000  326.0  1.735E+02  1.784E+01  -1.268E+01  -6.168E-01  -1.330E+01  1.423E+02
10000000  331.5  1.764E+02  2.182E+01  -1.138E+01  -6.168E-01  -1.200E+01  1.426E+02
10100000  323.8  1.723E+02  2.076E+01  -9.224E+00  -6.168E-01  -9.841E+00  1.417E+02
10200000  316.2  1.682E+02  1.947E+01  -9.151E+00  -6.168E-01  -9.768E+00  1.390E+02
10300000  312.7  1.664E+02  1.958E+01  -8.878E+00  -6.168E-01  -9.495E+00  1.373E+02
10400000  307.6  1.637E+02  1.767E+01  -8.662E+00  -6.168E-01  -9.279E+00  1.368E+02
10500000  318.5  1.695E+02  2.298E+01  -8.599E+00  -6.168E-01  -9.216E+00  1.373E+02
10600000  322.4  1.716E+02  2.347E+01  -7.532E+00  -6.168E-01  -8.148E+00  1.399E+02
10700000  327.1  1.740E+02  2.347E+01  -9.014E+00  -6.168E-01  -9.631E+00  1.409E+02
10800000  331.7  1.765E+02  2.347E+01  -1.061E+01  -6.168E-01  -1.123E+01  1.418E+02
10900000  335.8  1.787E+02  2.347E+01  -1.167E+01  -6.168E-01  -1.229E+01  1.429E+02
11000000  335.8  1.787E+02  2.176E+01  -1.293E+01  -6.168E-01  -1.354E+01  1.434E+02
11100000  346.2  1.842E+02  2.616E+01  -1.392E+01  -6.168E-01  -1.454E+01  1.435E+02
11200000  348.4  1.854E+02  2.691E+01  -1.403E+01  -6.168E-01  -1.465E+01  1.438E+02
11300000  340.5  1.812E+02  2.370E+01  -1.262E+01  -6.168E-01  -1.324E+01  1.442E+02
11400000  337.5  1.796E+02  2.538E+01  -1.036E+01  -6.168E-01  -1.097E+01  1.432E+02
11500000  318.3  1.694E+02  2.082E+01  -4.657E+00  -6.168E-01  -5.274E+00  1.433E+02
11600000  303.1  1.613E+02  1.633E+01  -4.352E+00  -6.168E-01  -4.969E+00  1.400E+02
11700000  306.7  1.632E+02  1.633E+01  -6.361E+00  -6.168E-01  -6.978E+00  1.399E+02
11800000  311.7  1.659E+02  1.633E+01  -1.015E+01  -6.168E-01  -1.077E+01  1.388E+02
11900000  315.4  1.679E+02  1.741E+01  -1.152E+01  -6.168E-01  -1.214E+01  1.383E+02
12000000  311.8  1.659E+02  1.505E+01  -1.190E+01  -6.168E-01  -1.251E+01  1.384E+02
12100000  299.0  1.591E+02  7.780E+00  -1.198E+01  -6.168E-01  -1.260E+01  1.387E+02
12200000  303.0  1.613E+02  9.319E+00  -1.195E+01  -6.168E-01  -1.256E+01  1.394E+02
12300000  315.9  1.681E+02  1.551E+01  -1.170E+01  -6.168E-01  -1.231E+01  1.403E+02
12400000  317.4  1.689E+02  1.598E+01  -1.076E+01  -6.168E-01  -1.138E+01  1.416E+02
12500000  314.7  1.675E+02  1.528E+01  -7.672E+00  -6.168E-01  -8.289E+00  1.439E+02
12600000  313.2  1.666E+02  1.528E+01  -6.350E+00  -6.168E-01  -6.966E+00  1.444E+02
12700000  312.4  1.662E+02  1.319E+01  -7.922E+00  -6.168E-01  -8.539E+00  1.445E+02
12800000  314.7  1.675E+02  1.249E+01  -1.100E+01  -6.168E-01  -1.162E+01  1.434E+02
12900000  319.7  1.701E+02  1.415E+01  -1.231E+01  -6.168E-01  -1.293E+01  1.430E+02
13000000  320.3  1.705E+02  1.415E+01  -1.277E+01  -6.168E-01  -1.339E+01  1.429E+02
13100000  320.5  1.705E+02  1.415E+01  -1.288E+01  -6.168E-01  -1.350E+01  1.429E+02
13200000  319.0  1.698E+02  1.334E+01  -1.292E+01  -6.168E-01  -1.354E+01  1.429E+02
13300000  319.1  1.698E+02  1.334E+01  -1.298E+01  -6.168E-01  -1.359E+01  1.429E+02
13400000  319.2  1.699E+02  1.334E+01  -1.307E+01  -6.168E-01  -1.369E+01  1.428E+02
13500000  304.0  1.618E+02  5.147E+00  -1.322E+01  -6.168E-01  -1.384E+01  1.428E+02
13600000  304.3  1.619E+02  5.147E+00  -1.341E+01  -6.168E-01  -1.402E+01  1.427E+02
13700000  304.6  1.621E+02  5.147E+00  -1.354E+01  -6.168E-01  -1.416E+01  1.428E+02
13800000  306.8  1.633E+02  6.259E+00  -1.344E+01  -6.168E-01  -1.406E+01  1.430E+02
13900000  306.6  1.631E+02  6.259E+00  -1.312E+01  -6.168E-01  -1.374E+01  1.431E+02
14000000  310.6  1.653E+02  8.544E+00  -1.313E+01  -6.168E-01  -1.375E+01  1.430E+02
14100000  305.0  1.623E+02  5.579E+00  -1.316E+01  -6.168E-01  -1.377E+01  1.430E+02
14200000  307.1  1.634E+02  6.517E+00  -1.319E+01  -6.168E-01  -1.380E+01  1.431E+02
14300000  310.4  1.652E+02  7.855E+00  -1.324E+01  -6.168E-01  -1.386E+01  1.434E+02
14400000  314.5  1.674E+02  9.582E+00  -1.426E+01  -6.168E-01  -1.488E+01  1.429E+02
14500000  313.3  1.667E+02  8.686E+00  -1.473E+01  -6.168E-01  -1.535E+01  1.427E+02
14600000  313.5  1.668E+02  8.616E+00  -1.492E+01  -6.168E-01  -1.554E+01  1.427E+02
14700000  313.7  1.669E+02  8.616E+00  -1.500E+01  -6.168E-01  -1.561E+01  1.427E+02
14800000  315.1  1.677E+02  9.261E+00  -1.500E+01  -6.168E-01  -1.561E+01  1.428E+02
14900000  303.9  1.617E+02  3.266E+00  -1.492E+01  -6.168E-01  -1.554E+01  1.429E+02
15000000  305.4  1.625E+02  4.151E+00  -1.473E+01  -6.168E-01  -1.535E+01  1.430E+02
15100000  303.0  1.612E+02  3.212E+00  -1.430E+01  -6.168E-01  -1.492E+01  1.431E+02
15200000  298.4  1.588E+02  1.359E+00  -1.369E+01  -6.168E-01  -1.431E+01  1.431E+02
15300000  294.6  1.568E+02  -7.116E-02  -1.294E+01  -6.168E-01  -1.356E+01  1.433E+02
15400000  294.1  1.565E+02  -7.116E-02  -1.252E+01  -6.168E-01  -1.313E+01  1.434E+02
15500000  302.2  1.608E+02  4.089E+00  -1.248E+01  -6.168E-01  -1.310E+01  1.436E+02
15600000  302.0  1.607E+02  4.089E+00  -1.242E+01  -6.168E-01  -1.304E+01  1.436E+02
15700000  292.4  1.556E+02  -7.923E-01  -1.196E+01  -6.168E-01  -1.258E+01  1.438E+02
15800000  288.1  1.533E+02  -3.023E+00  -1.133E+01  -6.168E-01  -1.195E+01  1.444E+02
15900000  289.9  1.543E+02  -3.023E+00  -1.142E+01  -6.168E-01  -1.204E+01  1.453E+02
16000000  286.1  1.522E+02  -6.830E+00  -1.331E+01  -6.168E-01  -1.393E+01  1.451E+02
16100000  289.9  1.543E+02  -6.098E+00  -1.449E+01  -6.168E-01  -1.511E+01  1.453E+02
16200000  298.1  1.586E+02  -2.474E+00  -1.492E+01  -6.168E-01  -1.554E+01  1.455E+02
16300000  298.4  1.588E+02  -2.474E+00  -1.474E+01  -6.168E-01  -1.536E+01  1.459E+02
16400000  297.8  1.585E+02  -2.474E+00  -1.392E+01  -6.168E-01  -1.453E+01  1.464E+02
16500000  317.5  1.689E+02  8.431E+00  -1.368E+01  -6.168E-01  -1.429E+01  1.462E+02
16600000  318.7  1.696E+02  9.461E+00  -1.320E+01  -6.168E-01  -1.381E+01  1.463E+02
16700000  320.1  1.703E+02  1.053E+01  -1.229E+01  -6.168E-01  -1.291E+01  1.469E+02
16800000  319.4  1.700E+02  1.053E+01  -1.116E+01  -6.168E-01  -1.178E+01  1.477E+02
16900000  319.2  1.699E+02  1.053E+01  -1.049E+01  -6.168E-01  -1.111E+01  1.482E+02
17000000  319.6  1.700E+02  9.977E+00  -1.062E+01  -6.168E-01  -1.123E+01  1.488E+02
17100000  321.9  1.713E+02  9.977E+00  -1.255E+01  -6.168E-01  -1.316E+01  1.481E+02
17200000  323.6  1.722E+02  9.977E+00  -1.354E+01  -6.168E-01  -1.416E+01  1.481E+02
17300000  324.8  1.728E+02  9.977E+00  -1.401E+01  -6.168E-01  -1.463E+01  1.482E+02
17400000  338.0  1.799E+02  1.658E+01  -1.426E+01  -6.168E-01  -1.488E+01  1.484E+02
17500000  349.0  1.857E+02  2.210E+01  -1.441E+01  -6.168E-01  -1.503E+01  1.486E+02
17600000  343.5  1.828E+02  1.881E+01  -1.443E+01  -6.168E-01  -1.505E+01  1.489E+02
17700000  321.5  1.711E+02  6.821E+00  -1.443E+01  -6.168E-01  -1.504E+01  1.492E+02
17800000  319.9  1.702E+02  5.703E+00  -1.439E+01  -6.168E-01  -1.501E+01  1.495E+02
17900000  320.8  1.707E+02  5.914E+00  -1.430E+01  -6.168E-01  -1.492E+01  1.499E+02
18000000  319.6  1.701E+02  5.152E+00  -1.422E+01  -6.168E-01  -1.483E+01  1.501E+02
18100000  319.5  1.700E+02  5.152E+00  -1.387E+01  -6.168E-01  -1.449E+01  1.504E+02
18200000  328.8  1.750E+02  1.035E+01  -1.307E+01  -6.168E-01  -1.369E+01  1.509E+02
18300000  330.0  1.756E+02  1.163E+01  -1.179E+01  -6.168E-01  -1.240E+01  1.516E+02
18400000  331.8  1.766E+02  1.282E+01  -1.188E+01  -6.168E-01  -1.250E+01  1.513E+02
18500000  333.2  1.773E+02  1.282E+01  -1.198E+01  -6.168E-01  -1.260E+01  1.519E+02
18600000  336.3  1.790E+02  1.282E+01  -1.239E+01  -6.168E-01  -1.300E+01  1.531E+02
18700000  334.0  1.777E+02  9.538E+00  -1.359E+01  -6.168E-01  -1.421E+01  1.540E+02
18800000  331.6  1.764E+02  6.780E+00  -1.462E+01  -6.168E-01  -1.524E+01  1.544E+02
18900000  333.2  1.773E+02  6.780E+00  -1.515E+01  -6.168E-01  -1.576E+01  1.548E+02
19000000  339.6  1.807E+02  9.681E+00  -1.536E+01  -6.168E-01  -1.597E+01  1.551E+02
19100000  339.9  1.809E+02  9.551E+00  -1.533E+01  -6.168E-01  -1.595E+01  1.554E+02
19200000  347.2  1.847E+02  1.330E+01  -1.496E+01  -6.168E-01  -1.557E+01  1.559E+02
19300000  350.1  1.863E+02  1.497E+01  -1.418E+01  -6.168E-01  -1.480E+01  1.566E+02
19400000  347.1  1.847E+02  1.337E+01  -1.339E+01  -6.168E-01  -1.400E+01  1.574E+02
19500000  339.4  1.806E+02  8.841E+00  -1.411E+01  -6.168E-01  -1.473E+01  1.570E+02
19600000  339.6  1.807E+02  8.326E+00  -1.470E+01  -6.168E-01  -1.532E+01  1.571E+02
19700000  337.0  1.793E+02  6.173E+00  -1.544E+01  -6.168E-01  -1.605E+01  1.571E+02
19800000  334.3  1.779E+02  3.913E+00  -1.588E+01  -6.168E-01  -1.650E+01  1.575E+02
19900000  325.5  1.732E+02  -1.537E+00  -1.618E+01  -6.168E-01  -1.680E+01  1.579E+02
20000000  330.6  1.759E+02  6.506E-01  -1.639E+01  -6.168E-01  -1.701E+01  1.583E+02
20100000  331.3  1.763E+02  6.506E-01  -1.653E+01  -6.168E-01  -1.715E+01  1.585E+02
20200000  326.3  1.736E+02  -1.768E+00  -1.624E+01  -6.168E-01  -1.686E+01  1.585E+02
20300000  323.3  1.720E+02  -2.348E+00  -1.550E+01  -6.168E-01  -1.612E+01  1.582E+02
20400000  319.9  1.702E+02  -2.348E+00  -1.413E+01  -6.168E-01  -1.475E+01  1.578E+02
20500000  314.4  1.673E+02  -2.718E+00  -1.158E+01  -6.168E-01  -1.220E+01  1.578E+02
20600000  318.6  1.696E+02  1.245E+00  -9.921E+00  -6.168E-01  -1.054E+01  1.578E+02
20700000  319.3  1.699E+02  9.492E-01  -8.515E+00  -6.168E-01  -9.132E+00  1.598E+02
20800000  326.6  1.738E+02  3.163E+00  -9.466E+00  -6.168E-01  -1.008E+01  1.605E+02
20900000  328.2  1.747E+02  1.765E+00  -1.014E+01  -6.168E-01  -1.075E+01  1.621E+02
21000000  334.2  1.779E+02  1.721E+00  -1.317E+01  -6.168E-01  -1.378E+01  1.623E+02
21100000  329.8  1.755E+02  -3.471E+00  -1.550E+01  -6.168E-01  -1.611E+01  1.629E+02
21200000  348.0  1.852E+02  4.168E+00  -1.693E+01  -6.168E-01  -1.755E+01  1.635E+02
21300000  348.8  1.856E+02  3.234E+00  -1.766E+01  -6.168E-01  -1.828E+01  1.641E+02
21400000  350.2  1.864E+02  3.234E+00  -1.781E+01  -6.168E-01  -1.843E+01  1.647E+02
21500000  350.2  1.864E+02  3.234E+00  -1.713E+01  -6.168E-01  -1.774E+01  1.654E+02
21600000  341.8  1.819E+02  -1.995E-02  -1.444E+01  -6.168E-01  -1.506E+01  1.669E+02
21700000  337.0  1.793E+02  -1.995E-02  -1.129E+01  -6.168E-01  -1.191E+01  1.675E+02
21800000  326.1  1.735E+02  -4.051E+00  -9.688E+00  -6.168E-01  -1.031E+01  1.673E+02
21900000  326.7  1.739E+02  -4.051E+00  -9.188E+00  -6.168E-01  -9.805E+00  1.681E+02
22000000  331.8  1.765E+02  -4.051E+00  -8.930E+00  -6.168E-01  -9.547E+00  1.710E+02
22100000  344.0  1.831E+02  -1.505E-01  -1.052E+01  -6.168E-01  -1.114E+01  1.721E+02
22200000  350.7  1.866E+02  2.534E+00  -1.212E+01  -6.168E-01  -1.273E+01  1.713E+02
22300000  355.5  1.892E+02  4.069E+00  -1.394E+01  -6.168E-01  -1.456E+01  1.705E+02
22400000  357.3  1.901E+02  4.069E+00  -1.485E+01  -6.168E-01  -1.546E+01  1.706E+02
22500000  355.3  1.891E+02  2.221E+00  -1.511E+01  -6.168E-01  -1.573E+01  1.711E+02
22600000  357.4  1.902E+02  2.221E+00  -1.518E+01  -6.168E-01  -1.580E+01  1.722E+02
22700000  358.0  1.905E+02  8.731E-01  -1.534E+01  -6.168E-01  -1.595E+01  1.737E+02
22800000  362.0  1.926E+02  8.731E-01  -1.568E+01  -6.168E-01  -1.630E+01  1.755E+02
22900000  362.1  1.927E+02  -1.353E+00  -1.669E+01  -6.168E-01  -1.730E+01  1.767E+02
23000000  357.7  1.903E+02  -4.905E+00  -1.757E+01  -6.168E-01  -1.819E+01  1.771E+02
23100000  353.9  1.883E+02  -7.302E+00  -1.782E+01  -6.168E-01  -1.844E+01  1.772E+02
23200000  360.1  1.916E+02  -4.012E+00  -1.749E+01  -6.168E-01  -1.810E+01  1.775E+02
23300000  360.2  1.917E+02  -3.305E+00  -1.631E+01  -6.168E-01  -1.693E+01  1.781E+02
23400000  357.8  1.904E+02  -3.183E+00  -1.404E+01  -6.168E-01  -1.466E+01  1.789E+02
23500000  356.0  1.895E+02  -3.183E+00  -1.384E+01  -6.168E-01  -1.446E+01  1.782E+02
23600000  366.0  1.947E+02  2.324E+00  -1.358E+01  -6.168E-01  -1.420E+01  1.782E+02
23700000  357.1  1.900E+02  -2.650E+00  -1.303E+01  -6.168E-01  -1.365E+01  1.791E+02
23800000  368.2  1.959E+02  1.888E+00  -1.302E+01  -6.168E-01  -1.364E+01  1.804E+02
23900000  370.8  1.973E+02  8.157E-01  -1.404E+01  -6.168E-01  -1.466E+01  1.819E+02
24000000  366.2  1.949E+02  -3.884E+00  -1.500E+01  -6.168E-01  -1.562E+01  1.831E+02
24100000  367.5  1.955E+02  -4.916E+00  -1.500E+01  -6.168E-01  -1.562E+01  1.848E+02
24200000  350.3  1.864E+02  -1.538E+01  -1.528E+01  -6.168E-01  -1.589E+01  1.859E+02
24300000  347.9  1.851E+02  -1.763E+01  -1.502E+01  -6.168E-01  -1.563E+01  1.871E+02
24400000  353.6  1.882E+02  -1.540E+01  -1.431E+01  -6.168E-01  -1.493E+01  1.886E+02
24500000  354.6  1.887E+02  -1.540E+01  -1.368E+01  -6.168E-01  -1.430E+01  1.898E+02
24600000  355.3  1.891E+02  -1.540E+01  -1.392E+01  -6.168E-01  -1.454E+01  1.899E+02
24700000  360.5  1.918E+02  -1.319E+01  -1.463E+01  -6.168E-01  -1.525E+01  1.898E+02
24800000  351.4  1.870E+02  -1.856E+01  -1.502E+01  -6.168E-01  -1.564E+01  1.899E+02
24900000  355.0  1.889E+02  -1.725E+01  -1.525E+01  -6.168E-01  -1.587E+01  1.903E+02
25000000  356.5  1.897E+02  -1.725E+01  -1.581E+01  -6.168E-01  -1.643E+01  1.905E+02
25100000  340.2  1.810E+02  -2.691E+01  -1.616E+01  -6.168E-01  -1.678E+01  1.911E+02
25200000  342.3  1.821E+02  -2.691E+01  -1.676E+01  -6.168E-01  -1.738E+01  1.917E+02
25300000  335.8  1.787E+02  -3.148E+01  -1.703E+01  -6.168E-01  -1.764E+01  1.925E+02
25400000  337.8  1.798E+02  -3.148E+01  -1.711E+01  -6.168E-01  -1.773E+01  1.935E+02
25500000  333.1  1.773E+02  -3.466E+01  -1.699E+01  -6.168E-01  -1.761E+01  1.943E+02
25600000  340.6  1.812E+02  -3.101E+01  -1.693E+01  -6.168E-01  -1.755E+01  1.947E+02
25700000  338.9  1.803E+02  -3.127E+01  -1.678E+01  -6.168E-01  -1.740E+01  1.942E+02
25800000  341.2  1.815E+02  -2.878E+01  -1.612E+01  -6.168E-01  -1.674E+01  1.936E+02
25900000  347.9  1.851E+02  -2.395E+01  -1.521E+01  -6.168E-01  -1.583E+01  1.932E+02
26000000  348.1  1.852E+02  -2.300E+01  -1.469E+01  -6.168E-01  -1.531E+01  1.929E+02
