#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
5900000  332.9  1.772E+02  2.627E+01  -1.171E+01  -6.168E-01  -1.232E+01  1.386E+02
6000000  333.0  1.772E+02  2.627E+01  -1.172E+01  -6.168E-01  -1.234E+01  1.386E+02
6100000  340.7  1.813E+02  3.031E+01  -1.180E+01  -6.168E-01  -1.242E+01  1.386E+02
6200000  345.1  1.837E+02  3.248E+01  -1.200E+01  -6.168E-01  -1.261E+01  1.386E+02
6300000  345.5  1.839E+02  3.248E+01  -1.221E+01  -6.168E-01  -1.283E+01  1.386E+02
6400000  343.5  1.828E+02  3.115E+01  -1.243E+01  -6.168E-01  -1.305E+01  1.386E+02
6500000  343.9  1.830E+02  3.115E+01  -1.265E+01  -6.168E-01  -1.326E+01  1.386E+02
6600000  361.6  1.924E+02  4.043E+01  -1.282E+01  -6.168E-01  -1.344E+01  1.386E+02
6700000  361.9  1.926E+02  4.043E+01  -1.298E+01  -6.168E-01  -1.360E+01  1.386E+02
6800000  349.8  1.861E+02  3.385E+01  -1.311E+01  -6.168E-01  -1.372E+01  1.386E+02
6900000  338.6  1.802E+02  2.779E+01  -1.319E+01  -6.168E-01  -1.381E+01  1.386E+02
7000000  332.3  1.768E+02  2.441E+01  -1.324E+01  -6.168E-01  -1.386E+01  1.386E+02
7100000  332.4  1.769E+02  2.441E+01  -1.327E+01  -6.168E-01  -1.389E+01  1.386E+02
7200000  324.5  1.727E+02  2.021E+01  -1.329E+01  -6.168E-01  -1.391E+01  1.386E+02
7300000  327.3  1.742E+02  2.167E+01  -1.331E+01  -6.168E-01  -1.393E+01  1.386E+02
7400000  327.3  1.742E+02  2.167E+01  -1.334E+01  -6.168E-01  -1.395E+01  1.386E+02
7500000  327.4  1.742E+02  2.167E+01  -1.335E+01  -6.168E-01  -1.397E+01  1.386E+02
7600000  328.0  1.745E+02  2.200E+01  -1.335E+01  -6.168E-01  -1.397E+01  1.386E+02
7700000  322.5  1.716E+02  1.910E+01  -1.334E+01  -6.168E-01  -1.395E+01  1.386E+02
7800000  317.9  1.692E+02  1.665E+01  -1.332E+01  -6.168E-01  -1.393E+01  1.386E+02
7900000  314.1  1.671E+02  1.467E+01  -1.329E+01  -6.168E-01  -1.390E+01  1.386E+02
8000000  307.6  1.637E+02  1.124E+01  -1.327E+01  -6.168E-01  -1.389E+01  1.386E+02
8100000  303.2  1.613E+02  8.769E+00  -1.338E+01  -6.168E-01  -1.400E+01  1.386E+02
8200000  307.9  1.638E+02  1.117E+01  -1.349E+01  -6.168E-01  -1.411E+01  1.386E+02
8300000  308.1  1.639E+02  1.117E+01  -1.358E+01  -6.168E-01  -1.420E+01  1.386E+02
8400000  308.2  1.640E+02  1.117E+01  -1.367E+01  -6.168E-01  -1.428E+01  1.386E+02
8500000  308.4  1.641E+02  1.117E+01  -1.377E+01  -6.168E-01  -1.438E+01  1.386E+02
8600000  307.0  1.633E+02  1.030E+01  -1.387E+01  -6.168E-01  -1.448E+01  1.386E+02
8700000  305.6  1.626E+02  9.504E+00  -1.396E+01  -6.168E-01  -1.457E+01  1.386E+02
8800000  305.8  1.627E+02  9.504E+00  -1.403E+01  -6.168E-01  -1.465E+01  1.386E+02
8900000  318.4  1.694E+02  1.624E+01  -1.401E+01  -6.168E-01  -1.463E+01  1.386E+02
9000000  315.0  1.676E+02  1.456E+01  -1.390E+01  -6.168E-01  -1.452E+01  1.386E+02
